Title	URL	ProDisURL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Collection	Notes	AddedUpdated
Housing Discrimination Against Racial and Ethnic Minorities 2012	https://www.huduser.gov/portal/Datasets/hsg_discrimination.html	https://www.huduser.gov/portal/publications/fairhsg/hsg_discrimination_2012.html	Dataset			2012		US Dept of Housing & Urban Development		Beginning in the late 1970s, the Department of Housing and Urban Development (HUD) has rigorously monitored trends in racial and ethnic discrimination in both rental and sales markets approximately once each decade through a series of nationwide paired-testing studies. This summary report presents findings from the fourth such study, which applied paired-testing methodology in 28 metropolitan areas to measure the incidence and forms of discrimination experienced by black, Hispanic, and Asian renters and homebuyers.			2012	United States of America	Northern America	Municipality		English	Discrimination, Racism, Socio-economic-cultural	home ownership, loans and debts, real estate, property, rental housing, racism, economics		AntiRacism		2023-05-08
How Black Lives Matter Reached Every Corner of America	https://www.nytimes.com/interactive/2020/06/13/us/george-floyd-protests-cities-photos.html	https://www.nytimes.com/interactive/2020/06/13/us/george-floyd-protests-cities-photos.html	Data Journalism			2020		The New York Times		The following places held protests in the two weeks from May 26 to June 9. The locations were compiled from local news reports and from lists by Count Love and Alex Smith, and they were confirmed using local news reports, photographs and videos.			2020	United States of America	Northern America			English	Social Justice and Equality, Racism, Criminal Justice	black white relations, police misconduct, african americans, black lives matter		AntiRacism		2023-05-08
2020 Hate Group Map (with ideaology detail available)	https://www.splcenter.org/hate-map	https://www.splcenter.org/hate-map	Dataset			2000		The Southern Poverty Law Center (SPLC)		In 2020, we tracked 838 hate groups across the U.S. [Link to download data in sidebar at lower left.]			2000-present	United States of America	Northern America	State		English	Racism, Discrimination, Migration and Immigration, Opinions and Social Attitudes, Socio-economic-cultural	discrimination, homophobia, gender stereotypes, immigrants, white supremacy, religious persecution, disability discrimination		AntiRacism		2023-05-08
Incarceration Trends	https://github.com/vera-institute/incarceration-trends	https://www.vera.org/blog/expanding-our-knowledge-on-local-incarceration-trends	Dataset					Vera Institute of Justice		National Datasets including jails and prisons, national and county data, latest release Sept 2020 (ver 2.2)				United States of America	Northern America			English	Criminal Justice, Youth	incarceration, prisons, life sentences, correctional facilities, inmates, youth		AntiRacism		2023-05-08
Jackson Heart Study	https://www.jacksonheartstudy.org/	https://www.jacksonheartstudy.org/	Project or Pilot			2000	2012	Jackson State University, University of Mississippi Medical Center, Tougaloo College		A population-based longitudinal study based in Jackson, Mississippi. The JHS is the largest single-site, prospective, epidemiologic investigation of cardiovascular disease among African Americans ever undertaken. It is also the largest study in history to investigate the inherited (genetic) factors that affect high blood pressure, heart disease, strokes, diabetes and other important diseases in African Americans.			2000-2012	United States of America	Northern America	Municipality		English	Health	african americans, cardiovascular disease, renal disease, respiratory dieases, genetic data		AntiRacism		2023-05-08
Land Grab Universities	https://www.landgrabu.org/	https://www.landgrabu.org/	Project or Pilot					HighCountryNews		How the United States funded land-grant universities with expropriated Indigenous land.				United States of America	Northern America	State		English	Indigenous Peoples, Migration and Immigration	universities or colleges, population migration, colonialism, land ownership	No	AntiRacism	Get the data on Github	2023-05-08
Law Enforcement Support Office Property Transferred to Participating Agencies	https://www.dla.mil/DispositionServices/Offers/Reutilization/LawEnforcement/PublicInformation/		Dataset					United States Department of Defense		Transfers of excess Department of Defense property to federal, state, and local law enforcement agencies within the United States and its Territories				United States of America	Northern America			English	Racism, Criminal Justice	police equipment, police safety, police training, police weapons, assault weapons		AntiRacism		2023-05-08
Missing Datasets (on GitHub)	https://github.com/MimiOnuoha/missing-Datasets	https://mimionuoha.com/the-library-of-missing-Datasets	Project or Pilot					Mimi Onuoha		Missing Datasets is a physical repository of those things that have been excluded in a society where so much is collected. Missing data sets are the blank spots that exist in spaces that are otherwise data-saturated. Wherever large amounts of data are collected, there are often empty spaces where no data live. The word missing is inherently normative. It implies both a lack and an ought: something does not exist, but it should. That which should be somewhere is not in its expected place; an established system is disrupted by distinct absence. That which we ignore reveals more than what we give our attention to. It’s in these things that we find cultural and colloquial hints of what is deemed important. Spots that we've left blank reveal our hidden social biases and indifferences.				United States of America	Northern America			English	Discrimination, Racism, Opinions and Social Attitudes, Civil and Political Rights	civil rights, human rights, prejudice, discrimination	No	AntiRacism	Just a listing. There is no dataset.	2026-04-21
Los Angeles County Social Survey, 1992 (LACSS) (ICPSR 36599)	https://www.icpsr.umich.edu/web/ICPSR/studies/36599/publications	https://www.icpsr.umich.edu/sites/icpsr/home	Dataset			1992		Lawrence Bobo		The LACSS 1992 was conducted between February and July 1992. Los Angeles County residents were asked questions concerning ethnic relations, social dominance, social distance, immigration, affirmative action, employment, and government. (police officers were acquitted of the Rodney King beating on April 29, 1992)			1992	United States of America	Northern America	Municipality, State		English	Racism, Criminal Justice, Migration and Immigration, Socio-economic-cultural	race relations, social change, immigration, affirmative action, employment, government	Yes	AntiRacism		2023-05-08
Mapping George Floyd Black Lives Matter Protests	https://www.creosotemaps.com/blm2020/json/	https://gis.arizona.edu/news/showing-it-matters-mapping-george-floyd-or-black-lives-matter-protests	Dataset			2020		University of Arizona		Alex Smith Alumnus from the MS-GIST Program 2015 is supporting the George Floyd or Black Lives Matter protests by highlighting their extent using Esri's ArcGIS Online.			2020	Global	All Regions	Nation, State, Municipality		English	Social Justice and Equality, Racism, Criminal Justice, Discrimination	african americans, black white relations, police brutality, black lives matter		AntiRacism		2023-05-08
