Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated
Reports of the American Indian Family History Project, 1885-1930	https://www.icpsr.umich.edu/web/ICPSR/studies/3576	Dataset	Hoxie, Frederick E., Sattler, Richard A., and Shoemaker, Nancy. Reports of the American Indian Family History Project, 1885-1930. Inter-university Consortium for Political and Social Research [distributor], 2007-03-27. https://doi.org/10.3886/ICPSR03576.v2	2007	1885	1930		Inter university Consortium for Political and Social Research ICPSR	Aimed at examining demographic trends among Native Americans families during the late 1800s and early 1900s utilizing census data, collected by the Bureau of Indian Affairs (BIA) and the Census Bureau. Specifically, this study observed the behavior of Native American families from the Colville, Creek, Crow, Hopi, and White Earth Chippewa tribes at the time of the 1885, 1900, 1910, and 1930 censuses, although data were not available for all tribes in all years. Common among each dataset in the collection are variables on the respondent&#39;s age, sex, and family size. Also appearing in each dataset in the collection are variables describing the respondent&#39;s relation to the head of his or her household, number of children born to the respondent, and the familial status of the respondent&#39;s mother, father, and spouse. The data from 1900 and 1910 include socioeconomic variables relating to occupation, education, and home ownership. Also unique to the 1900 and 1910 data are variables that more specifically categorize the race and ethnicity of the respondent. Language and marital status variables appear in the 1900, 1910, and 1930 data as well. 	Quantitative	Yes	1885-1930	United States of America				English					2026-01-13
Survey of Business Owners and Self-Employed Persons/ Annual Business Survey	https://www.census.gov/programs-surveys/sbo.html 	Dataset			1992	2012	U.S. Census Bureau		Allows researchers to create customized tables and models and to study entrepreneurial activity and the relationships between business characteristics such as access to capital, firm size, employer-paid benefits, minority- and women-ownership, and firm age. Includes national- and state-level data and detailed characteristics of businesses and their owners while protecting the confidentiality of survey respondents. See SBO data tables here: https://www.census.gov/programs-surveys/sbo/data/tables.html?text-list-63b3002fa9%3Atab=all#text-list-63b3002fa9  	Quantitative	Yes	1992-2012	United States of America				English					2026-01-13
Civil Rights Data Collection (CRDC) (2013-2014)	https://www.datalumos.org/datalumos/project/100445/	Dataset							Since 1968, the CRDC, formerly the Elementary and Secondary School Survey, has collected data on key education and civil rights issues in our nation&#39;s public schools. Collects information about school characteristics and about programs, services, and outcomes for students. Most student data are disaggregated by race/ethnicity, sex, limited English proficiency (LEP), and disability. Response to the biennial survey is required by law. The 2013&ndash;14 CRDC collected data from the universe of all public school districts, also referred to as local education agencies (LEAs), and schools, including long-term secure juvenile justice facilities, charter schools, alternative schools, and schools serving students with disabilities. Data were collected for the 2013-14 school year. Data collection began in April 2015 and ended on January 8, 2016. Data from the 2000, 2004, 2006, 2009-10, 2011-12, 2013-14, 2015-2016, 2017-2018, and 2020-2021 CRDC surveys are available in the CRDC reporting tool at <a href="https://civilrightsdata.ed.gov/data" onmousedown="_sendEvent('Outbound','ocrdata.ed.gov','/',0);">https://civilrightsdata.ed.gov/data</a>. Also see <a href="https://www.datalumos.org/datalumos/project/103004">2015-2016</a>. Also includes limited historical data from <a href="https://civilrightsdata.ed.gov/archive">1968-1998</a>. 	Quantitative			United States of America				English					2026-01-13
Covid Racial Data Tracker	https://covidtracking.com/race	Dataset							Covid-19 cases by state by race.	Quantitative			United States of America				English					2026-01-13
Opportunity Insights	https://opportunityinsights.org/data/	Dataset							Publicly available datasets that allow analysis of social mobility and a variety of other outcomes from life expectancy to patent rates by neighborhood, college, parental income level, and racial background. Can search for datasets by geographic level (e.g., Census tracts), by topic (e.g., education), or by the title of the paper. 	Quantitative			United States of America				English					2026-01-13
Resource Center for Minority Data (RCMD)	https://www.icpsr.umich.edu/web/pages/RCMD/index.html	Dataset							Provides data resources for the comparative analysis of issues affecting racial and ethnic minority populations in the United States. 	Quantitative			United States of America				English					2026-01-13
Home mortgage disclosure - HMDA	https://www.consumerfinance.gov/data-research/hmda/	Dataset							Requires many financial institutions to maintain, report, and publicly disclose loan-level information about mortgages. These data help show whether lenders are serving the housing needs of their communities; they give public officials information that helps them make decisions and policies; and they shed light on lending patterns that could be discriminatory. The public data are modified to protect applicant and borrower privacy.	Quantitative			United States of America				English					2026-01-13
Annual Survey of Jails in Indian Country (1998+)	https://bjs.ojp.gov/data-collection/annual-survey-jails-indian-country-sjic	Dataset							Purpose was to gather data on all adult and juvenile jail facilities and detention centers in Indian reservations, pueblos, rancherias, and other Native American and Alaska Native communities throughout the United States. Provides data on the number of inmates, staffing, and facility characteristics and needs of all confinement facilities operated by tribal authorities or the Bureau of Indian Affairs. 	Quantitative			United States of America				English					2026-01-13
Ethnic Diversity Survey (Canada) (2002)	https://www150.statcan.gc.ca/n1/en/catalogue/89M0019X	Dataset							Survey on ethnicity, its various dimensions and related issues of changing cultural diversity in Canada. Topics covered in the survey include ethnic ancestry, ethnic identity, place of birth, visible minority status, religion, religious participation, knowledge of languages, family background, family interaction, social networks, civic participation, interaction with society, attitudes, satisfaction with life, trust and socio-economic activities. The target population for the main survey are persons aged 15 years or over living in private households in the 10 provinces. The population does not include persons living in collective dwellings, persons living on Indian reserves, persons declaring an Aboriginal origin or identity in the 2001 Census, or persons living in Northern and remote areas.	Quantitative			Canada									2026-01-13
Minorities at Risk (MAR) Project (1945+)	http://www.mar.umd.edu/mar_data.asp	Dataset							Tracks 284 politically-active ethnic groups throughout the world -- identifying where they are, what they do, and what happens to them. Focuses specifically on ethnopolitical groups, non-state communal groups that have political significance in the contemporary world because of their status and political actions. Political significance is determined by: (1) The group collectively suffers, or benefits from, systematic discriminatory treatment compared to other groups in a society and (2) The group is the basis for political mobilization and collective action in defense or promotion of its self-defined interests. 	Quantitative												2026-01-13
Drug Use Among Young American Indians: Epidemiology and Prediction, 2001-2006 and 2009-2013	https://www.icpsr.umich.edu/web/NAHDAP/studies/35062	Dataset							Annual surveillance effort assessing the levels and patterns of substance use among American Indian (AI) adolescents attending schools on or near reservations. In addition to annual epidemiology of substance use, data pertaining to the normative environment for adolescent substance use were also obtained. Contains 527 variables for 16,590 students in grades 7 to 12. 	Quantitative			United States of America				English					2026-01-13
American Community Survey (ACS) (1996+)	https://www.census.gov/programs-surveys/acs	Dataset							Nationwide survey designed to provide communities with a fresh look at how they are changing. 2005 is the first full year. Prior years were small test runs. Replaces the decennial long form. Tells us what the population looks like and how it lives. Includes occupancy status, homeownership data, and housing cost data.  	Quantitative			United States of America				English					2026-01-13
Census of Tribal Justice Agencies, 2002	https://bjs.ojp.gov/library/publications/census-tribal-justice-agencies-indian-country-2002	Dataset							Compiles data on the law enforcement, courts and administration, corrections and intermediate sanctions, criminal history records, and justice statistics of the federally recognized American Indian tribal governing bodies. The data determine which tribes have sworn law enforcement personnel and the source of authority, what the number and type of tribal court systems are, who performs the tribal detention function and what types of sanctions are imposed. It also looks at whether tribes have access to state and national criminal record systems. 	Quantitative			United States of America				English					2026-01-13
U.S. County Populations by Single Years of Age, Sex, and Race, 1970, 1980, 1990 	https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/37115	Dataset							These files were prepared by the U.S. Census Bureau in response to a special request. Contain the census populations (April 1 in each year) for 1970, 1980, and 1990 by county, single years of age, sex, and race. These are the original tabulations made by the U.S. Census Bureau. They represent the short form data, which is the complete count. The state and national totals were added. The numbers for 1970 differ from the published tables. It seems that the 1970 final data were corrected after the published tables were set into print. The 1980 and 1990 results are the same as the published tables. 	Quantitative			United States of America				English					2026-01-13
Study of Tribal and Alaska Native Juvenile Justice Systems in The United States, 1990 	https://www.icpsr.umich.edu/web/NACJD/studies/9772	Dataset							Focuses on juvenile justice systems administered by federally recognized Indian tribes throughout the United States. Responses were received from 93 tribes who indicated that they administered some form of juvenile justice system and from 57 tribes who indicated that they did not. Variables in the data collection include number of Indian juveniles aged 10-17 in the jurisdiction, types of cases that the juvenile justice system exercised jurisdiction over, type of court (tribal, state, federal), annual budget and sources of funds for the court, number of court personnel, types of legal statutes covering court activities, kinds of diversionary options available to the court, and the circumstances under which juveniles were held with adults. A separate file on juvenile offense rates according to tribe is provided. 	Quantitative			United States of America				English					2026-01-13
IPUMS-International Census Data	https://international.ipums.org/international/	Dataset							Project dedicated to collecting and distributing census data from around the world. 	Qualitative												2026-01-13
Diversitydata.org	http://diversitydata.org/	Dataset							Allows visitors to explore how metropolitan areas throughout the U.S. perform on a diverse range of social measures. These data call attention to the equality of opportunity and diversity of experiences for different racial and ethnic groups in the United States. 	Quantitative			United States of America				English					2026-01-13
Los Angeles County Social Survey  (LACSS) (1992-1998)	https://www.icpsr.umich.edu/web/ICPSR/search/studies?q=%22Los+Angeles+County+Social+Survey%22	Dataset							Conducted between February and April 1993. Los Angeles County residents were asked questions concerning ethnic relations, social dominance, inequality, poverty, government, and the LA riots. Demographic information collected includes race/ethnic identity, gender, religion, age, education level, occupation, birth place, political party affiliation and ideology, marital status, income, and origin of ancestry. 	Quantitative			United States of America				English					2026-01-13
National Race and Politics Survey (1991)	https://sda.berkeley.edu/sdaweb/analysis/?dataset=natlrace	Dataset						University of California Berkeley	Nationwide random-digit telephone survey carried out by the Survey Research Center of the University of California, Berkeley. A mailback survey of willing respondents to the telephone survey was also carried out. Data from the mailback survey are also included in the data file. The telephone and mailback surveys included many questions related to racial attitudes and political orientation. There were also many questions on values, personality measures, and goals. A multi-disciplinary research team planned the survey and developed the questionnaire. The telephone interview was a computer-assisted survey that incorporated many randomized experiments, including vignettes and unobtrusive measures.	Quantitative	No		United States of America		State	Individual	English					2026-01-13
National Survey of American Life: Multi-Generational and Caribbean Cross-Section Studies, Guyana, Jamaica, [United States], 2004-2005	https://www.icpsr.umich.edu/web/ICPSR/studies/36406	Dataset							The study National Survey of American Life: Multi-Generational and Caribbean Cross-Section Studies also known as the Family Connections Across Generations and Nations is a follow-up to the National Survey of American Life (NSAL): Coping With Stress in the 21st Century, the baseline study which interviewed 6,200 adults and 1,200 adolescents in households of African Americans, non-Hispanic Whites, and Blacks of Caribbean descent.	Quantitative			Guyana; Jamaica; United States of America									2026-01-13
Political Leaders' Affiliation Database 	https://sites.google.com/view/lennart-kaplan/data	Dataset								Quantitative												2026-01-13
